,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
RMUG-S,run_RMUG_S.1,RMUG-S,http://www.ebi.ac.uk/efo/EFO_0006747,ovarian mucinous cystadenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001963,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RMUG-S,http://www.ebi.ac.uk/efo/EFO_0006747,ovarian mucinous cystadenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001963,Yes,other
RPMI 8226,run_RPMI_8226.1,RPMI 8226,http://www.ebi.ac.uk/efo/EFO_0002322,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RPMI 8226,http://www.ebi.ac.uk/efo/EFO_0002322,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
RPMI-7951,run_RPMI_7951.2,RPMI-7951,http://www.ebi.ac.uk/efo/EFO_0005712,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RPMI-7951,http://www.ebi.ac.uk/efo/EFO_0005712,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
RPMI-8402,run_RPMI_8402.2,RPMI-8402,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RPMI-8402,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
RS-5,run_RS_5.2,RS-5,NA,sarcomatoid mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000521,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RS-5,NA,sarcomatoid mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000521,Yes,other
RS4;11,run_RS4_11.1,RS4;11,NA,adult B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001935,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RS4;11,NA,adult B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001935,Yes,other
RT-112,run_RT_112.1,RT-112,http://www.ebi.ac.uk/efo/EFO_0006479,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RT-112,http://www.ebi.ac.uk/efo/EFO_0006479,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
RT4,run_RT4.5,RT4,http://www.ebi.ac.uk/efo/EFO_0006480,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,RT4,http://www.ebi.ac.uk/efo/EFO_0006480,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
Raji,run_Raji.2,Raji,http://www.ebi.ac.uk/efo/EFO_0002324,Epstein-Barr virus-related Burkitt lymphoma,http://www.ebi.ac.uk/efo/EFO_1001954,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Raji,http://www.ebi.ac.uk/efo/EFO_0002324,Epstein-Barr virus-related Burkitt lymphoma,http://www.ebi.ac.uk/efo/EFO_1001954,Yes,other
Reh,run_Reh.1,Reh,NA,childhood B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001946,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Reh,NA,childhood B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001946,Yes,other
S-117,run_S_117.2,S-117,NA,thyroid gland sarcoma,http://www.ebi.ac.uk/efo/EFO_1001971,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,S-117,NA,thyroid gland sarcoma,http://www.ebi.ac.uk/efo/EFO_1001971,Yes,other
SBC-5,run_SBC_5.1,SBC-5,http://www.ebi.ac.uk/efo/EFO_0002855,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SBC-5,http://www.ebi.ac.uk/efo/EFO_0002855,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
SCC-15,run_SCC_15.2,SCC-15,http://www.ebi.ac.uk/efo/EFO_0006482,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SCC-15,http://www.ebi.ac.uk/efo/EFO_0006482,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
SCC-25,run_SCC_25.1,SCC-25,http://www.ebi.ac.uk/efo/EFO_0006483,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SCC-25,http://www.ebi.ac.uk/efo/EFO_0006483,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
SCC-4,run_SCC_4.1,SCC-4,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SCC-4,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
SCC-9,run_SCC_9.2,SCC-9,http://www.ebi.ac.uk/efo/EFO_0006485,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SCC-9,http://www.ebi.ac.uk/efo/EFO_0006485,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
SCLC-21H,run_SCLC_21H.1,SCLC-21H,http://www.ebi.ac.uk/efo/EFO_0006749,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SCLC-21H,http://www.ebi.ac.uk/efo/EFO_0006749,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
SCaBER,run_SCaBER.2,SCaBER,http://www.ebi.ac.uk/efo/EFO_0002325,bladder squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000130,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SCaBER,http://www.ebi.ac.uk/efo/EFO_0002325,bladder squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000130,Yes,other
SEM,run_SEM.1,SEM,http://www.ebi.ac.uk/efo/EFO_0002326,childhood B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001946,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SEM,http://www.ebi.ac.uk/efo/EFO_0002326,childhood B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001946,Yes,other
SF-295,run_SF_295.5,SF-295,http://www.ebi.ac.uk/efo/EFO_0005452,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SF-295,http://www.ebi.ac.uk/efo/EFO_0005452,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SF126,run_SF126.1,SF126,http://www.ebi.ac.uk/efo/EFO_0005450,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SF126,http://www.ebi.ac.uk/efo/EFO_0005450,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SF268,run_SF268.2,SF268,http://www.ebi.ac.uk/efo/EFO_0005451,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SF268,http://www.ebi.ac.uk/efo/EFO_0005451,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Yes,other
SF539,run_SF539.2,SF539,http://www.ebi.ac.uk/efo/EFO_0005453,gliosarcoma,http://www.ebi.ac.uk/efo/EFO_1001465,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SF539,http://www.ebi.ac.uk/efo/EFO_0005453,gliosarcoma,http://www.ebi.ac.uk/efo/EFO_1001465,Yes,other
SH-10-TC,run_SH_10_TC.5,SH-10-TC,NA,mucinous gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000386,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SH-10-TC,NA,mucinous gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000386,Yes,other
SH-4,run_SH_4.2,SH-4,http://www.ebi.ac.uk/efo/EFO_0002327,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SH-4,http://www.ebi.ac.uk/efo/EFO_0002327,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
SHP-77,run_SHP_77.1,SHP-77,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SHP-77,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
SIG-M5,run_SIG_M5.2,SIG-M5,http://www.ebi.ac.uk/efo/EFO_0006751,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SIG-M5,http://www.ebi.ac.uk/efo/EFO_0006751,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
SIMA,run_SIMA.2,SIMA,NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SIMA,NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
SJSA-1,run_SJSA_1.1,SJSA-1,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SJSA-1,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Yes,other
SK-BR-3,run_SK_BR_3.2,SK-BR-3,http://www.ebi.ac.uk/efo/EFO_0001236,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-BR-3,http://www.ebi.ac.uk/efo/EFO_0001236,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
SK-CO-1,run_SK_CO_1.1,SK-CO-1,http://www.ebi.ac.uk/efo/EFO_0006752,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-CO-1,http://www.ebi.ac.uk/efo/EFO_0006752,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SK-ES-1,run_SK_ES_1.2,SK-ES-1,http://www.ebi.ac.uk/efo/EFO_0002858,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-ES-1,http://www.ebi.ac.uk/efo/EFO_0002858,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Yes,other
SK-HEP-1,run_SK_HEP_1.1,SK-HEP-1,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-HEP-1,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SK-LMS-1,run_SK_LMS_1.1,SK-LMS-1,NA,vulvar leiomyosarcoma,http://www.ebi.ac.uk/efo/EFO_1001975,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-LMS-1,NA,vulvar leiomyosarcoma,http://www.ebi.ac.uk/efo/EFO_1001975,Yes,other
SK-LU-1,run_SK_LU_1.2,SK-LU-1,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-LU-1,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
SK-MEL-1,run_SK_MEL_1.2,SK-MEL-1,http://www.ebi.ac.uk/efo/EFO_0002332,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-1,http://www.ebi.ac.uk/efo/EFO_0002332,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
SK-MEL-24,run_SK_MEL_24.2,SK-MEL-24,http://www.ebi.ac.uk/efo/EFO_0006487,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-24,http://www.ebi.ac.uk/efo/EFO_0006487,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
SK-MEL-28,run_SK_MEL_28.2,SK-MEL-28,http://www.ebi.ac.uk/efo/EFO_0003081,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-28,http://www.ebi.ac.uk/efo/EFO_0003081,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
SK-MEL-3,run_SK_MEL_3.2,SK-MEL-3,http://www.ebi.ac.uk/efo/EFO_0002333,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-3,http://www.ebi.ac.uk/efo/EFO_0002333,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
SK-MEL-30,run_SK_MEL_30.1,SK-MEL-30,http://www.ebi.ac.uk/efo/EFO_0006488,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-30,http://www.ebi.ac.uk/efo/EFO_0006488,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
SK-MEL-31,run_SK_MEL_31.2,SK-MEL-31,http://www.ebi.ac.uk/efo/EFO_0006489,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-31,http://www.ebi.ac.uk/efo/EFO_0006489,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
SK-MEL-5,run_SK_MEL_5.5,SK-MEL-5,http://www.ebi.ac.uk/efo/EFO_0005720,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MEL-5,http://www.ebi.ac.uk/efo/EFO_0005720,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
SK-MES-1,run_SK_MES_1.1,SK-MES-1,http://www.ebi.ac.uk/efo/EFO_0002334,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MES-1,http://www.ebi.ac.uk/efo/EFO_0002334,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
SK-MM-2,run_SK_MM_2.1,SK-MM-2,http://www.ebi.ac.uk/efo/EFO_0005458,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-MM-2,http://www.ebi.ac.uk/efo/EFO_0005458,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
SK-N-AS,run_SK_N_AS.2,SK-N-AS,http://www.ebi.ac.uk/efo/EFO_0002859,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-N-AS,http://www.ebi.ac.uk/efo/EFO_0002859,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
SK-N-BE(2),run_SK_N_BE_2_.2,SK-N-BE(2),NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-N-BE(2),NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
SK-N-DZ,run_SK_N_DZ.2,SK-N-DZ,http://www.ebi.ac.uk/efo/EFO_0005721,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-N-DZ,http://www.ebi.ac.uk/efo/EFO_0005721,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
SK-N-FI,run_SK_N_FI.2,SK-N-FI,http://www.ebi.ac.uk/efo/EFO_0002338,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-N-FI,http://www.ebi.ac.uk/efo/EFO_0002338,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
SK-N-MC,run_SK_N_MC.2,SK-N-MC,http://www.ebi.ac.uk/efo/EFO_0002860,Askin tumor,http://www.ebi.ac.uk/efo/EFO_1000095,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-N-MC,http://www.ebi.ac.uk/efo/EFO_0002860,Askin tumor,http://www.ebi.ac.uk/efo/EFO_1000095,Yes,other
SK-OV-3,run_SK_OV_3.1,SK-OV-3,http://www.ebi.ac.uk/efo/EFO_0002340,ovarian serous cystadenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000043,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-OV-3,http://www.ebi.ac.uk/efo/EFO_0002340,ovarian serous cystadenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000043,Yes,other
SK-UT-1,run_SK_UT_1.2,SK-UT-1,NA,uterine leiomyosarcoma,http://www.ebi.ac.uk/efo/EFO_1001974,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SK-UT-1,NA,uterine leiomyosarcoma,http://www.ebi.ac.uk/efo/EFO_1001974,Yes,other
SKM-1,run_SKM_1.2,SKM-1,http://www.ebi.ac.uk/efo/EFO_0006753,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SKM-1,http://www.ebi.ac.uk/efo/EFO_0006753,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
SNB75,run_SNB75.2,SNB75,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNB75,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SNG-M,run_SNG_M.1,SNG-M,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNG-M,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
SNU-1,run_SNU_1.5,SNU-1,http://www.ebi.ac.uk/efo/EFO_0002343,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1,http://www.ebi.ac.uk/efo/EFO_0002343,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Yes,other
SNU-1033,run_SNU_1033.2,SNU-1033,NA,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1033,NA,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Yes,other
SNU-1040,run_SNU_1040.2,SNU-1040,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1040,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-1041,run_SNU_1041.2,SNU-1041,NA,hypopharyngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001960,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1041,NA,hypopharyngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001960,Yes,other
SNU-1066,run_SNU_1066.2,SNU-1066,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1066,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Yes,other
SNU-1076,run_SNU_1076.2,SNU-1076,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1076,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Yes,other
SNU-1077,run_SNU_1077.2,SNU-1077,NA,uterine carcinosarcoma,http://www.ebi.ac.uk/efo/EFO_1000613,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1077,NA,uterine carcinosarcoma,http://www.ebi.ac.uk/efo/EFO_1000613,Yes,other
SNU-1079,run_SNU_1079.2,SNU-1079,NA,intrahepatic cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001961,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1079,NA,intrahepatic cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001961,Yes,cholang
SNU-1105,run_SNU_1105.1,SNU-1105,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1105,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SNU-119,run_SNU_119.2,SNU-119,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-119,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
SNU-1196,run_SNU_1196.2,SNU-1196,NA,hilar cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001959,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1196,NA,hilar cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001959,Yes,cholang
SNU-1197,run_SNU_1197.2,SNU-1197,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1197,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-1214,run_SNU_1214.2,SNU-1214,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1214,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Yes,other
SNU-1272,run_SNU_1272.2,SNU-1272,NA,clear cell renal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000349,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-1272,NA,clear cell renal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000349,Yes,other
SNU-16,run_SNU_16.5,SNU-16,http://www.ebi.ac.uk/efo/EFO_0002344,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-16,http://www.ebi.ac.uk/efo/EFO_0002344,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Yes,other
SNU-175,run_SNU_175.5,SNU-175,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-175,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-182,run_SNU_182.2,SNU-182,http://www.ebi.ac.uk/efo/EFO_0002345,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-182,http://www.ebi.ac.uk/efo/EFO_0002345,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-201,run_SNU_201.1,SNU-201,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-201,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SNU-213,run_SNU_213.2,SNU-213,NA,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-213,NA,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
SNU-216,run_SNU_216.2,SNU-216,http://www.ebi.ac.uk/efo/EFO_0006754,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-216,http://www.ebi.ac.uk/efo/EFO_0006754,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Yes,other
SNU-245,run_SNU_245.2,SNU-245,NA,cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005221,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-245,NA,cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005221,Yes,cholang
SNU-308,run_SNU_308.2,SNU-308,NA,gallbladder carcinoma,http://www.ebi.ac.uk/efo/EFO_1001956,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-308,NA,gallbladder carcinoma,http://www.ebi.ac.uk/efo/EFO_1001956,Yes,gallbladder
SNU-324,run_SNU_324.2,SNU-324,NA,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-324,NA,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
SNU-349,run_SNU_349.2,SNU-349,NA,clear cell renal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000349,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-349,NA,clear cell renal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000349,Yes,other
SNU-387,run_SNU_387.1,SNU-387,http://www.ebi.ac.uk/efo/EFO_0002346,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-387,http://www.ebi.ac.uk/efo/EFO_0002346,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
